"","CodigoMateria","DataApresentacao","AnoMateria","Legislatura","class_tematica","TipoIniciativa","Autor","autor_un","Sexo","partido","uf","regiao"
"82",123946,"2015-11-10",2015,"55ª","Resíduos Sólidos","Individual","Senador Davi Alcolumbre (DEM/AP)","Davi Alcolumbre","M","DEM","AP","Norte"
"83",124173,"2015-11-24",2015,"55ª","Educação Ambiental","Individual","Senador Jorge Viana (PT/AC)","Jorge Viana","M","PT","AC","Norte"
"84",119891,"2015-03-04",2015,"55ª","Recursos Hídricos","Individual","Senador Roberto Rocha (PSB/MA)","Roberto Rocha","M","PSB","MA","Nordeste"
"85",122111,"2015-07-02",2015,"55ª","Recursos Hídricos","Individual","Senador Raimundo Lira (MDB/PB)","Raimundo Lira","M","MDB","PB","Nordeste"
"86",123104,"2015-09-09",2015,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Delcídio do Amaral (PT/MS)","Delcídio do Amaral","M","PT","MS","Centro-Oeste"
"87",123290,"2015-09-23",2015,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Donizeti Nogueira (PT/TO)","Donizeti Nogueira","M","PT","TO","Norte"
"88",123756,"2015-10-22",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Wilder Morais (PP/GO)","Wilder Morais","M","PP","GO","Centro-Oeste"
"89",123926,"2015-11-05",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Raimundo Lira (MDB/PB)","Raimundo Lira","M","MDB","PB","Nordeste"
"90",124112,"2015-11-19",2015,"55ª","Resíduos Sólidos","Individual","Senador Ciro Nogueira (PP/PI)","Ciro Nogueira","M","PP","PI","Nordeste"
"91",124508,"2015-12-17",2015,"55ª","Crimes e Infrações Ambientais","Individual","Senadora Marta Suplicy (MDB/SP)","Marta Suplicy","F","MDB","SP","Sudeste"
"92",119619,"2015-02-04",2015,"55ª","Recursos Hídricos","Individual","Senador Humberto Costa (PT/PE)","Humberto Costa","M","PT","PE","Nordeste"
"93",122192,"2015-07-07",2015,"55ª","Recursos Hídricos","Individual","Senador Jorge Viana (PT/AC)","Jorge Viana","M","PT","AC","Norte"
"94",123044,"2015-09-08",2015,"55ª","Recursos Hídricos","Individual","Senador José Agripino (DEM/RN)","José Agripino","M","DEM","RN","Nordeste"
