"","AnoMateria","DataApresentacao","Autor","autor_un","Sexo","partido","uf"
"110",2015,"2015-03-16","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO"
"111",2015,"2015-06-01","Senador Donizeti Nogueira (PT/TO)","Donizeti Nogueira","M","PT","TO"
"112",2015,"2015-08-05","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT"
"113",2015,"2015-08-05","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO"
"114",2015,"2015-09-16","Senador Marcelo Crivella (REPUBLICANOS/RJ)","Marcelo Crivella","M","REPUBLICANOS","RJ"
"115",2015,"2015-02-25","Senador Cássio Cunha Lima (PSDB/PB)","Cássio Cunha Lima","M","PSDB","PB"
"116",2015,"2015-03-03","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO"
"117",2015,"2015-03-04","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA"
"118",2015,"2015-03-24","Senador Eduardo Amorim (PSC/SE)","Eduardo Amorim","M","PSC","SE"
"119",2015,"2015-04-29","Senador Otto Alencar (PSD/BA)","Otto Alencar","M","PSD","BA"
"120",2015,"2015-05-19","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR"
"121",2015,"2015-05-27","Senador Dário Berger (MDB/SC)","Dário Berger","M","MDB","SC"
"122",2015,"2015-08-13","Senador Hélio José (PSD/DF)","Hélio José","M","PSD","DF"
"123",2015,"2015-11-24","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA"
"124",2016,"2016-02-02","Senadora Ana Amélia (PP/RS)","Ana Amélia","F","PP","RS"
"125",2016,"2016-05-16","Senador Telmário Mota (PDT/RR)","Telmário Mota","M","PDT","RR"
"126",2016,"2016-11-16","Senador Cidinho Santos (PL/MT)","Cidinho Santos","M","PL","MT"
"127",2016,"2016-02-25","Senador Cássio Cunha Lima (PSDB/PB)","Cássio Cunha Lima","M","PSDB","PB"
"128",2016,"2016-03-09","Senador Paulo Paim (PT/RS)","Paulo Paim","M","PT","RS"
"129",2016,"2016-05-05","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT"
"130",2016,"2016-03-01","Senador Jorge Viana (PT/AC)","Jorge Viana","M","PT","AC"
"131",2016,"2016-02-17","Senador Wilder Morais (PP/GO)","Wilder Morais","M","PP","GO"
"132",2016,"2016-10-04","Senador Aécio Neves (PSDB/MG)","Aécio Neves","M","PSDB","MG"
"133",2016,"2016-05-31","Senador Randolfe Rodrigues (REDE/AP)","Randolfe Rodrigues","M","REDE","AP"
"134",2016,"2016-09-08","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO"
"135",2016,"2016-10-06","Senador Paulo Rocha (PT/PA)","Paulo Rocha","M","PT","PA"
"136",2016,"2016-10-19","Senador José Agripino (DEM/RN)","José Agripino","M","DEM","RN"
